,Date,Tweets,Likes,Views,Hastags,Keywords,topics,Sentiment_score,Sentiment_label
47,2025-04-04T13:39:49.000Z,"Hoppin' on the trend, but with a twist! 

#NBAIndia #Ghibli #Trending",0,0,"#NBAIndia, #Ghibli, #Trending","['Hoppin', 'twist']",1,0.0,Neutral
48,2025-04-04T13:34:11.000Z,"From one beautiful destination to another... - Prasad Rigvedy

#Zurich #Budapest #Travel #IPL2025 #beauty #beautiful #trending #trendingnow #LSGvsMI #LSGvMI #MIvLSG #MIvsLSG #rohitsharma #suryakumaryadav #hardikpandya #rishabhpant #davidmiller #mumbaiIndians #LucknowSuperGiants",0,0,"#Zurich, #Budapest, #Travel, #IPL2025, #beauty, #beautiful, #trending, #trendingnow, #LSGvsMI, #LSGvMI, #MIvLSG, #MIvsLSG, #rohitsharma, #suryakumaryadav, #hardikpandya, #rishabhpant, #davidmiller, #mumbaiIndians, #LucknowSuperGiants","['one', 'beautiful', 'destination', 'another', 'Prasad', 'Rigvedy']",0,0.9118,Positive
49,2025-04-04T13:33:50.000Z,"Kiara Powar introduces a new series, 'Bat, Ball aur Baatein', offering bite-sized cricket updates for Gen Z, blending sport with an informal, relatable approach

Read more here: https://impactonnet.com/more-from-impact/kiara-powar-launches-innovative-cricket-series-bat-ball-aur-baatein-10321.html…

#IMPACT #IMPACTMagazine #socialmedia #KiaraPowar #BatBallaurBaatein",0,0,"#IMPACT, #IMPACTMagazine, #socialmedia, #KiaraPowar, #BatBallaurBaatein","['Kiara', 'Powar', 'introduce', 'Bat', 'Ball', 'aur', 'Baatein', 'offer', 'bitesized', 'cricket', 'Gen', 'Z', 'blend', 'sport', 'informal', 'approach', 'Read']",0,0.0,Neutral
50,2025-04-04T13:31:54.000Z,Rohit sharma in international matches vs IPL #IPL2025 #Trending #TrendingNow #iplt20 #Rohitsharma,0,0,"#IPL2025, #Trending, #TrendingNow, #iplt20, #Rohitsharma","['Rohit', 'sharma', 'international', 'match', 'IPL']",0,0.0,Neutral
51,2025-04-04T13:30:06.000Z,"""Chill Mode: Activated"" ·
 ""Get Your Swag On"" 
https://zurl.co/Eo5ox
#Blueficus
#lrludyog
#trending
#offers
#sale
#shopnow
#fashion",0,0,"#Blueficus, #lrludyog, #trending, #offers, #sale, #shopnow, #fashion","['Chill', 'Mode', 'Activated', 'Get', 'Swag']",1,0.0,Neutral
52,2025-04-04T12:54:32.000Z,"Not just branding. A new dimension of identity Stitverse.
#Stitverse #DesignReimagined #NextGenBranding #CreativityUnleashed #stitverse #digitalmarketing #ecommerce #BrandGrowth #ITCompany #social #socialmedia #marketing #logo #design #name #companyname",0,0,"#Stitverse, #DesignReimagined, #NextGenBranding, #CreativityUnleashed, #stitverse, #digitalmarketing, #ecommerce, #BrandGrowth, #ITCompany, #social, #socialmedia, #marketing, #logo, #design, #name, #companyname","['brand', 'dimension', 'identity', 'Stitverse']",-1,0.0,Neutral
53,2025-04-04T12:53:52.000Z,"A beacon of hope and exemplar of women empowerment, Justice Fathima Beevi was also the first Muslim woman to be appointed to the higher judiciaries in the country, and also served as the Governor of Tamil Nadu.

#Trending #Achievers #WomenAchievers #IndianWomenAchievers",0,0,"#Trending, #Achievers, #WomenAchievers, #IndianWomenAchievers","['beacon', 'hope', 'exemplar', 'women', 'empowerment', 'Justice', 'Fathima', 'Beevi', 'also', 'first', 'Muslim', 'woman', 'appoint', 'higher', 'judiciaries', 'country', 'serve', 'Governor', 'Tamil', 'Nadu']",0,0.743,Positive
54,2025-04-04T12:52:19.000Z,"Our latest work brings the iconic Dubai Frame to life, showcasing stunning purses floating effortlessly. Discover the magic behind our creations and see more of our work today! 
.
.
#qtpmediahouse #cgi
#socialmedia #productanimation #vfx #dior #cocochanel #prada #visualarts",0,0,"#qtpmediahouse, #cgi, #socialmedia, #productanimation, #vfx, #dior, #cocochanel, #prada, #visualarts","['work', 'bring', 'iconic', 'Dubai', 'Frame', 'showcasing', 'stun', 'purse', 'float', 'effortlessly', 'Discover', 'magic', 'behind', 'creations']",1,0.6369,Positive
55,2025-04-04T12:46:12.000Z,"Managing social media isn’t just about posting, it’s about strategy, consistency, and growth.

Let http://Socmed.io take your social media to the next level!

#Socmed #Marketing #Designing #Socialmedia #Graphicdesign #Business #Outsourcing #SocialGrowth #Socialmediamanager",0,0,"#Socmed, #Marketing, #Designing, #Socialmedia, #Graphicdesign, #Business, #Outsourcing, #SocialGrowth, #Socialmediamanager","['Managing', 'social', 'media', 'strategy', 'consistency', 'growth', 'Let', 'next', 'level']",1,0.3818,Positive
56,2025-04-04T12:39:31.000Z,"For the ones who know that presentation is everything. 

#dinnerware #theearthstore #tableware #dinnerset #ceramic #trending #viral #fyp #bowls #familytime",0,0,"#dinnerware, #theearthstore, #tableware, #dinnerset, #ceramic, #trending, #viral, #fyp, #bowls, #familytime","['ones', 'presentation', 'everything']",-1,0.0,Neutral
